id,name,hotel_id,address,link_hotel,city_id,quality,rating,number_people_rating,description,distance,image,price
82,"Cat An Guesthouse",hotel_2952633,Huế,https://is.gd/DJZYym,6231,1,6.3,25,"Phòng Giường Đôi Hạng Bình Dân","107.588388,16.461398",https://is.gd/pQtVY8,160000
83,"Holiday Diamond Hotel",hotel_403446,Huế,https://is.gd/gy22h0,6231,3,9.3,697,"Phòng Superior Giường Đôi","107.5954413414,16.4715375531618",https://is.gd/zabfQz,269280
84,"Villa Louise Hue Beach Boutique Hotel",hotel_1453583,Huế,https://is.gd/dAe3XP,6231,4,8.9,230,"Phòng Tiêu Chuẩn Giường Đôi","107.67687857151,16.5458077844499",https://is.gd/T5ftfa,1470150
85,"Indochine Palace",hotel_384981,Huế,https://is.gd/ImtpIo,6231,5,9.3,337,"Phòng Deluxe Giường Đôi/2 Giường Đơn","107.597957253456,16.4603175840714",https://is.gd/x7eMHI,2219040
86,"An Thai Homestay Hue",hotel_6810705,Huế,https://is.gd/F7NZDH,6231,0,10,3,"Phòng Giường Đôi","107.593503327044,16.464614639501",https://is.gd/HczeiM,280000
87,"Baloo Hostel",hotel_4389800,Huế,https://is.gd/HuYAyK,6231,0,9.2,556,"Phòng Superior Gia Đình","107.59445,16.466317",https://is.gd/rUqrVB,288000
88,"Rubis Hostel",hotel_1768854,Huế,https://is.gd/9u2drd,6231,0,8.8,123,"Phòng Đôi hạng Phổ thông có Quạt máy","107.608017224537,16.4523625321444",https://is.gd/UUwk96,195000
89,"Eureka Eco",hotel_6308023,Huế,https://is.gd/3iIcWP,6231,0,9.3,8,"Căn Hộ 2 Phòng Ngủ","107.608825277246,16.4666575409",https://is.gd/fRvEIw,712000
90,"Thanh Tam Resort",hotel_1003758,"Lăng Cô",https://is.gd/bWs9vX,6231,3,6.8,84,"Phòng Giường Đôi/2 Giường Đơn Nhìn Ra Biển Ở Mặt Bên","108.077563047409,16.2442566816741",https://is.gd/8y7QVF,664226
91,"Sahi Homestay Retreat",hotel_5573716,Huế,https://is.gd/8mgdDd,6231,0,9.4,82,"Phòng có Giường cỡ Queen và Sân hiên","107.564014,16.452983",https://is.gd/Ud4xIB,1170000
